Year,Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cemend,Gas Flaring,Per Capita,Bunker Fuels
2014,Eritrea,190,0,149,0,41,0,0.04,1
2014,Estonia,5323,4767,223,272,61,0,4.04,317
2014,Ethiopia,3163,232,2197,0,734,0,0.03,330
2014,Faroe Islands,163,0,163,0,0,0,3.39,20
2014,Falkland Islands (Islas Malvinas),15,3,12,0,0,0,5.16,0
2014,Federated States of Micronesia,41,0,41,0,0,0,0.39,1
2014,Fiji,319,0,293,0,26,0,0.36,56
2014,Finland,12899,4677,6482,1570,170,0,2.35,602
2014,France,82704,9419,50615,20358,2312,0,1.29,6306
2014,French Guiana,200,0,188,0,12,0,0.76,33
2014,French Polynesia,219,0,219,0,0,0,0.78,45
2014,Gabon,1416,0,749,173,23,471,0.84,211
2014,The Gambia,140,0,138,1,0,0,0.07,12
2014,Gaza Strip,2451,310,774,1145,221,0,0.61,68
2014,Germany,196314,84098,68263,39582,4365,5,2.43,8706
2014,Ghana,3945,0,3188,349,408,0,0.15,104
2014,Gibraltar,144,0,144,0,0,0,4.5,2509
2014,Greece,18358,7203,8906,1552,697,0,1.67,2301
2014,Greenland,138,0,138,0,0,0,2.46,15
2014,Grenada,66,0,66,0,0,0,0.62,4
2014,Guadeloupe,700,145,514,0,41,0,1.5,93
2014,Guatemala,4998,521,4000,0,476,0,0.31,311
2014,GUINEA,668,0,599,0,68,0,0.05,21
2014,Guinea,74,0,74,0,0,0,0.04,10
2014,Guyana,548,0,548,0,0,0,0.72,8
2014,Haiti,780,0,739,0,41,0,0.07,29
2014,Honduras,2583,145,2207,0,231,0,0.32,57
2014,HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,12605,8420,2659,1268,258,0,1.74,12769
2014,Hungary,11477,2400,4431,4361,286,0,1.16,146
2014,Iceland,541,90,451,0,0,0,1.65,171
2014,India,610411,407077,140199,25278,37400,457,0.47,4396
2014,Indonesia,126582,33370,63677,17035,7888,4612,0.5,1356
2014,Iraq,45935,0,33962,3448,1768,6757,1.3,611
2014,Ireland,9290,2114,4580,2325,272,0,1.99,711
2014,Islamic Republic of Iran,177115,900,66662,91127,8976,9450,2.27,4218
2014,Israel,17617,6775,6013,3930,898,0,2.22,1011
2014,Italy,87377,13532,39265,31670,2910,0,1.46,4265
2014,Jamaica,2024,75,1835,0,113,0,0.73,182
2014,Japan,331074,122461,133395,67342,7876,0,2.61,8123
2014,Jordan,7213,375,6057,169,612,0,0.97,110
2014,Kazakhstan,67716,38375,8819,19438,1085,0,3.9,193
2014,Kenya,3896,340,2796,0,759,0,0.09,194
2014,Kiribati,17,0,17,0,0,0,0.15,3
2014,Kuwait,26018,0,15952,9433,517,116,6.93,1585
2014,Kyrgyzstan,2620,1229,1016,141,235,0,0.45,3
2014,Laos,533,84,122,0,326,0,0.08,9
2014,Latvia,1902,62,1002,676,163,0,0.96,292
2014,Lebanon,6564,171,5643,0,750,0,1.17,222
2014,Lesotho,673,507,167,0,0,0,0.32,0
2014,Liberia,255,0,215,0,40,0,0.06,19
2014,Libya,15543,0,9885,3031,272,2355,2.48,183
2014,Liechtenstein,12,0,0,12,0,0,0.31,0
2014,Lithuania,3501,237,1852,1289,123,0,1.2,74
2014,Luxembourg,2634,55,1903,527,150,0,4.73,337
2014,Macau,350,0,320,31,0,0,0.61,56
2014,Macedonia,2048,1177,709,69,93,0,0.99,10
2014,Madagascar,839,278,527,0,33,0,0.04,64
2014,Malawi,348,55,232,0,61,0,0.02,6
2014,Malaysia,66218,15793,24442,21399,2992,1591,2.21,2271
2014,Maldives,364,0,364,0,0,0,1.02,204
2014,Mali,385,0,385,0,0,0,0.02,20
2014,Malta,640,0,640,0,0,0,1.53,1166
2014,Marshall Islands,28,0,28,0,0,0,0.52,0
2014,Martinique,627,0,607,0,20,0,1.58,124
2014,Mauritania,739,0,634,0,105,0,0.19,25
2014,Mauritius,1153,474,680,0,0,0,0.91,351
2014,Mexico,130971,13358,73374,37801,4760,1678,1.04,3300
2014,Mongolia,5683,4702,925,0,56,0,1.95,0
2014,Montenegro,603,387,216,0,0,0,0.96,15
2014,Montserrat,13,0,13,0,0,0,2.63,1
2014,Morocco,16325,4176,9384,629,2137,0,0.47,656
2014,Mozambique,2298,225,1507,362,204,0,0.08,103
2014,Myanmar (Burma),5899,390,4008,1318,179,4,0.11,34
2014,Namibia,1024,19,907,0,99,0,0.43,40
2014,Nauru,13,0,13,0,0,0,1.32,4
2014,Nepal,2190,501,1267,0,422,0,0.08,119
2014,Netherlabds,45624,9070,18272,18010,272,0,2.7,14210
2014,New Caledonia,1170,426,729,0,14,0,4.5,9
2014,New Zealand ,9453,1505,5014,2744,150,39,2.1,918
2014,Nicaragua,1326,0,1231,0,95,0,0.22,19
2014,Niger,580,98,480,0,3,0,0.03,25
2014,Nigeria,26256,33,8830,9035,2720,5637,0.15,581
2014,Niue,3,0,3,0,0,0,1.56,0
2014,Norway,12988,879,8542,3085,231,251,2.52,545
2014,OCCUPIED PALESTINIAN TERRITORY,774,0,774,0,0,0,0.17,0
2014,Oman,16681,0,2904,12272,680,824,3.94,1442
2014,Pakistan,45350,3535,19726,17736,4352,0,0.25,263
2014,Palau,71,0,71,0,0,0,3.37,15
2014,Panama,2400,354,1748,0,298,0,0.62,3086
2014,Papua New Guinea,1723,0,1628,67,27,0,0.23,49
2014,Paraguay,1555,0,1419,0,136,0,0.24,32
2014,Peru,16838,780,7089,4512,1452,3005,0.54,681
2014,Philippines,28812,11662,12224,1934,2992,0,0.29,980
2014,PLURINATIONAL STATE OF BOLIVIA,5566,0,2897,2142,476,51,0.53,50
2014,Poland,77922,52194,15261,8372,2089,6,2.02,613
2014,Portugal,12286,2761,6608,2169,748,0,1.18,1359
2014,Qatar,29412,0,1499,26725,816,372,13.54,1072
2014,REPUBLIC OF CAMEROON,1910,0,1386,347,177,0,0.08,112
2014,REPUBLIC OF KOREA,160119,84161,42616,26942,6399,0,3.2,10570
2014,REPUBLIC OF MOLDOVA,1345,94,595,478,177,0,0.33,21
2014,REPUBLIC OF SOUTH SUDAN,408,0,408,0,0,0,0.03,32
2014,REPUBLIC OF SUDAN,4190,0,3717,0,473,0,0.11,226
2014,Reunion,1138,463,620,0,54,0,1.33,49
2014,Romania,19090,6126,6042,5849,1074,0,0.97,220
2014,Russia,465052,110403,107368,232204,9322,5755,3.24,17585
2014,Rwanda,229,0,210,0,19,0,0.02,17
2014,St. Helena,3,0,3,0,0,0,0.84,0
2014,St. Lucia,111,0,111,0,0,0,0.61,5
2014,St. Martin,200,0,200,0,0,0,5.31,205
2014,Samoa,54,0,54,0,0,0,0.28,9
2014,Sao Tome and Principe,31,0,31,0,0,0,0.17,9
